,Entry ID,Jurisdiction,health_region,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group",Source type,suggested_industry
21,AB171,Alta.,Edmonton,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,CIHI,"Activities, Restaurants & eating places, Fitness, Personal care, Nightlife"
22,AB171,Alta.,Calgary,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,CIHI,"Activities, Restaurants & eating places, Fitness, Personal care, Nightlife"
23,AB171,Alta.,Central Zone,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,CIHI,"Activities, Restaurants & eating places, Fitness, Personal care, Nightlife"
32,BC178,B.C.,Vancouver Coastal,2020-11-07 00:00:00,2020-11-07 00:00:00,Closures,Closures - recreation,"What: Indoor group exercises, sports and competitions, recreation centres, restrictions to social gatherings and non-essential travel. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-vch-fh.pdf,https://www.timescolonist.com/b-c-imposes-two-week-covid-restrictions-in-metro-vancouver-health-regions-1.24235161,Regional,No,Government,Fitness
33,BC179,B.C.,Interior,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Government,"Fitness, Activities"
34,BC179,B.C.,Island,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Government,"Fitness, Activities"
35,BC179,B.C.,Fraser,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Government,"Fitness, Activities"
36,BC179,B.C.,Vancouver Coastal,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Government,"Fitness, Activities"
45,BC200,B.C.,Interior,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,Nightlife
46,BC200,B.C.,Island,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,Nightlife
47,BC200,B.C.,Fraser,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,Nightlife
48,BC200,B.C.,Vancouver Coastal,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,Nightlife
49,BC201,B.C.,Interior,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,"Food & beverage stores, Restaurants & eating places, Nightlife"
50,BC201,B.C.,Island,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,"Food & beverage stores, Restaurants & eating places, Nightlife"
51,BC201,B.C.,Fraser,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,"Food & beverage stores, Restaurants & eating places, Nightlife"
52,BC201,B.C.,Vancouver Coastal,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,CIHI,"Food & beverage stores, Restaurants & eating places, Nightlife"
53,BC203,B.C.,Interior,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,CIHI,None
54,BC203,B.C.,Island,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,CIHI,None
55,BC203,B.C.,Fraser,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,CIHI,None
56,BC203,B.C.,Vancouver Coastal,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,CIHI,None
57,BC207,B.C.,Interior,2020-09-20 00:00:00,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,CIHI,"Food & beverage stores, Nightlife"
58,BC207,B.C.,Island,2020-09-20 00:00:00,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,CIHI,"Food & beverage stores, Nightlife"
59,BC207,B.C.,Fraser,2020-09-20 00:00:00,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,CIHI,"Food & beverage stores, Nightlife"
60,BC207,B.C.,Vancouver Coastal,2020-09-20 00:00:00,2020-09-20 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of British Columbia
What: Announced that operators and organizers contravening the provincial health officer’s order to close banquet halls and nightclubs and to limit liquor sales to specific times and situations can be fined $2,000 and that patrons can be fined $200
Effective until: ",https://news.gov.bc.ca/releases/2020PSSG0053-001836,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,CIHI,"Food & beverage stores, Nightlife"
61,BC208,B.C.,Interior,,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Restaurants & eating places, Nightlife, Food & beverage stores, Clothing stores, General merchandise stores"
62,BC208,B.C.,Interior,,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Fitness, Activities"
63,BC208,B.C.,Island,,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Restaurants & eating places, Nightlife, Food & beverage stores, Clothing stores, General merchandise stores"
64,BC208,B.C.,Island,,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Fitness, Activities"
65,BC208,B.C.,Fraser,,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Restaurants & eating places, Nightlife, Food & beverage stores, Clothing stores, General merchandise stores"
66,BC208,B.C.,Fraser,,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Fitness, Activities"
67,BC208,B.C.,Vancouver Coastal,,2020-11-19 00:00:00,Restrictions,Restrictions - non-essential services,"What: retail businesses are required to establish capacity limits based on 5 square metres of unencumbered space per person
Post occupancy limits.The service and sale of alcohol is prohibited after 8 pm. This order applies to any establishment that sells or serves alcohol including, bars, restaurants, pubs, liquor stores or grocery stores.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Restaurants & eating places, Nightlife, Food & beverage stores, Clothing stores, General merchandise stores"
68,BC208,B.C.,Vancouver Coastal,,2020-11-19 00:00:00,Closures,Closures - non-essential services,"What: In-person events and community-based gathering. Businesses, recreation centres or other organizations that organize or operate high intensity group exercise must suspend the following activities: Hot yoga, Spin classes, Aerobics, Bootcamp, High intensity aspects of circuit training, High intensity interval training (HIIT).Indoor and outdoor team sports for people 22 years of age and older are suspended. Under the order, no spectators are allowed at any sport activities. ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,Not applicable,Provincial/territorial,No,CIHI,"Fitness, Activities"
69,MB153,Man.,Winnipeg,2020-07-23 00:00:00,2020-07-25 00:00:00,Openings,Openings - non-essential services and recreation,"Who: Government of Manitoba
What: Maintained current site capacity at 30% for faith-based services, including powwows and other cultural and spiritual events, but eliminated the need for subgroups (cohorts); for faith-based services, site capacity will be a maximum of 30% or 500 people, whichever is lower. Permitted stage performances and opening movie theatres to a maximum capacity of 30% of the site, up to a maximum of 500 people. Permitted retail businesses and indoor recreation sites to use non-permeable barriers when distances of 2 metres cannot be maintained. Permitted casinos to open at a maximum of 30% of the site’s capacity.
Effective until: ",https://news.gov.mb.ca/news/index.html?item=48699&posted=2020-07-23,http://www.manitoba.ca/covid19/restoring/phase-four.html,Provincial/territorial,Yes,CIHI,"Clothing stores, Nightlife, Activities"
74,MB166,Man.,Winnipeg,2020-07-30 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Government of Manitoba
What: Opened public schools for the first day of in-person K-12 classes 
Effective until:",https://news.gov.mb.ca/news/index.html?item=48837,https://winnipeg.ctvnews.ca/anxiety-and-excitement-on-first-day-back-to-school-in-manitoba-1.5096764,Provincial/territorial,No,CIHI,None
76,MB170,Man.,Winnipeg,2020-11-02 00:00:00,2020-11-12 00:00:00,Closures,Code Red: Critical,"What: All personal service businesses, such as hair salons, must close; All religious and cultural gathering places must close, but can provide services virtually; Gyms and fitness centres must close; Restaurants need to close to in-person dining, but can provide delivery, drive-thru and takeout; Retailers can continue to sell essential or non-essential items online, by telephone or by remote means for delivery or pick-up; and Recreational activities, sport facilities, casinos, museums, galleries, libraries, movie theatres and concert halls must close. Effective until: Dec 11, 2020. ",https://www.gov.mb.ca/covid19/restartmb/prs/winnipeg/index.html,https://www.winnipegfreepress.com/special/coronavirus/manitobans-could-face-code-red-extension-based-on-pallisters-gut-feeling-573249841.html,Provincial/territorial,No,Government,"Activities, Restaurants & eating places, Fitness, Personal care, Nightlife, Clothing stores"
77,MB079,Man.,Winnipeg,,2020-11-20 00:00:00,Restrictions,Code Red: Critical,"What: Essential retail businesses, shopping centres and malls may reopen with restrictions. Retails must limit the number of members of the public at the business to 25% of the usual capacity of the premises or 250 persons, whichever is lower",https://www.gov.mb.ca/covid19/restartmb/prs/orders/essential-business.html,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/orders-soe-11222020.pdf,Provincial/territorial,No,Government,Clothing stores
84,NB162,N.B.,Zone 2 (Saint John area),2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Education and Early Childhood Development
What: Began opening public schools for the first day of classes across the province
Effective until:",https://www2.gnb.ca/content/gnb/en/departments/education/k12/content/calendar.html,https://www.cbc.ca/news/canada/new-brunswick/nb-first-day-school-1.5715363,Provincial/territorial,No,CIHI,None
85,NB162,N.B.,Zone 1 (Moncton area),2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Education and Early Childhood Development
What: Began opening public schools for the first day of classes across the province
Effective until:",https://www2.gnb.ca/content/gnb/en/departments/education/k12/content/calendar.html,https://www.cbc.ca/news/canada/new-brunswick/nb-first-day-school-1.5715363,Provincial/territorial,No,CIHI,None
87,NB164,N.B.,Zone 1 (Moncton area),,2020-10-22 00:00:00,Openings,Yellow level,What: Physical distances of 2m and masks in public spaces enforced. Limits not enforced.,https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0550.html,Not applicable,Regional,No,CIHI,None
88,NB165,N.B.,Zone 1 (Moncton area),,2020-11-19 00:00:00,Restrictions,Orange level,"What: Recreational and sport organizations may operate but are limited to practices and/or skills and drills within a single team. Physical distancing, screening and masks enforced. Limited capacities for businesses.",https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0617.html,Not applicable,Regional,No,CIHI,None
91,NS108,N.S.,Zone 4 - Central,,2020-08-26 00:00:00,Openings,Openings - recreation,What: Community-based adult day programs can resume with an approved plan that meets public health guidelines.,https://novascotia.ca/coronavirus/restriction-updates/,Not applicable,Provincial/territorial,No,Government,None
92,NS109,N.S.,Zone 4 - Central,,2020-09-15 00:00:00,Openings,Openings - recreation,"What: Day programs, supported employment and social enterprise service providers funded through the Department of Community Services’ Disability Support Program can open with an approved plan that meets public health guidelines.",https://novascotia.ca/coronavirus/restriction-updates/,Not applicable,Provincial/territorial,No,Government,None
93,NS110,N.S.,Zone 4 - Central,,2020-11-26 00:00:00,Closures,Closures - recreation,"What: Extra-curricular activities between schools are not permitted (like clubs, sports and other in-school activities). Dine-in restaurants (take-out only), events, festivals, sport activities, casinos, video lottery terminals (VLTs). Personal services businesses (like hairstylists, barber shops, spas, estheticians and nail salons) can’t provide services that require a client to remove their mask",https://novascotia.ca/coronavirus/county-restrictions/halifax/,https://novascotia.ca/coronavirus/restriction-updates/,Regional,No,Government,"Activities, Restaurants & eating places, Fitness, Personal care, Nightlife"
96,NS132,N.S.,Zone 4 - Central,2020-09-02 00:00:00,2020-09-08 00:00:00,Openings,Openings - education,"Who: Department of Health and Wellness, Department of Education and Early Childhood Development
What: Opened public schools for first day of classes
Effective until:",https://novascotia.ca/news/release/?id=20200902004,Not applicable,Provincial/territorial,No,CIHI,None
